DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,21/10/2009,03/03/2010,EDYFICAR PERU S.A.,DIRECTOR,31/03/2010,29/03/2012,CREDICORP LTD.,"0 años, 0 meses, 28 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,02/03/2009,03/03/2010,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,,24/06/2016,A la actualidad,CREDICORP LTD.,"6 años, 3 meses, 21 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,02/03/2009,03/03/2010,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,GERENTE GENERAL,01/10/2013,31/08/2015,CREDICORP LTD.,"3 años, 6 meses, 28 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,02/03/2009,03/03/2010,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,30/03/2017,A la actualidad,CREDICORP LTD.,"7 años, 0 meses, 27 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,02/03/2009,03/03/2010,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,DIRECTOR,01/10/2013,30/03/2017,CREDICORP LTD.,"3 años, 6 meses, 28 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,CREDICORP LTD.,,24/06/2016,A la actualidad,CREDICORP LTD.,"5 años, 3 meses, 0 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,CREDICORP LTD.,GERENTE DE FINANZAS,01/10/2013,A la actualidad,CREDICORP LTD.,"2 años, 6 meses, 7 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,CCR INC.,PRESIDENTE DEL DIRECTORIO,03/10/2013,A la actualidad,CREDICORP LTD.,"2 años, 6 meses, 9 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,BANCO DE CREDITO DEL PERU,,24/06/2016,A la actualidad,CREDICORP LTD.,"5 años, 3 meses, 0 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,BANCO DE CREDITO DEL PERU,G.CENTRAL DE PLANEA.Y FINANZAS,01/10/2013,A la actualidad,CREDICORP LTD.,"2 años, 6 meses, 7 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,EDYFICAR PERU S.A.,DIRECTOR,31/03/2016,A la actualidad,CREDICORP LTD.,"5 años, 0 meses, 7 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,EDYFICAR PERU S.A.,DIRECTOR,25/03/2014,31/03/2016,CREDICORP LTD.,"3 años, 0 meses, 1 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,EDYFICAR PERU S.A.,DIRECTOR,29/03/2012,25/03/2014,CREDICORP LTD.,"1 años, 0 meses, 5 días."
DASSO MONTERO FERNANDO,PRIMA AFP S.A.,DIRECTOR,04/03/2010,24/03/2011,SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.,,24/06/2016,A la actualidad,CREDICORP LTD.,"5 años, 3 meses, 0 días."
