"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"EDYFICAR PERU S.A.",DIRECTOR,"CREDICORP LTD.",2010-03-04,2010-03-18,"0 años, 4 meses, 18 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2010-03-04,2010-03-18,"5 años, 6 meses, 8 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.","GERENTE GENERAL","CREDICORP LTD.",2010-03-18,2011-03-24,"1 años, 11 meses, 18 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CCR INC.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2010-03-18,2011-03-24,"1 años, 9 meses, 16 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","BANCO DE CREDITO DEL PERU","GERENTE GENERAL","CREDICORP LTD.",2010-03-18,2011-03-24,"1 años, 11 meses, 17 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","EDYFICAR PERU S.A.",DIRECTOR,"CREDICORP LTD.",2010-03-18,2010-03-31,"0 años, 5 meses, 4 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2010-03-18,2011-03-24,"5 años, 6 meses, 22 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.","GERENTE GENERAL","CREDICORP LTD.",2011-03-24,2011-05-12,"2 años, 11 meses, 24 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CCR INC.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2011-03-24,2011-05-12,"2 años, 9 meses, 22 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","BANCO DE CREDITO DEL PERU","GERENTE GENERAL","CREDICORP LTD.",2011-03-24,2011-05-12,"2 años, 11 meses, 23 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2011-03-24,2011-05-12,"6 años, 7 meses, 0 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",DIRECTOR,"CREDICORP LTD.",2011-03-31,2011-05-12,"0 años, 0 meses, 7 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.","GERENTE GENERAL","CREDICORP LTD.",2011-05-12,2012-03-30,"3 años, 1 meses, 14 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CCR INC.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2011-05-12,2012-03-30,"2 años, 11 meses, 10 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","BANCO DE CREDITO DEL PERU","GERENTE GENERAL","CREDICORP LTD.",2011-05-12,2012-03-30,"3 años, 1 meses, 11 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2011-05-12,2012-03-30,"6 años, 8 meses, 18 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",DIRECTOR,"CREDICORP LTD.",2011-05-12,2012-03-30,"0 años, 1 meses, 11 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.","GERENTE GENERAL","CREDICORP LTD.",2012-03-30,2013-03-21,"4 años, 0 meses, 2 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CCR INC.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2012-03-30,2013-03-21,"3 años, 9 meses, 28 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","BANCO DE CREDITO DEL PERU","GERENTE GENERAL","CREDICORP LTD.",2012-03-30,2013-03-21,"3 años, 11 meses, 29 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2012-03-30,2013-03-21,"7 años, 7 meses, 6 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",DIRECTOR,"CREDICORP LTD.",2012-03-30,2013-03-21,"0 años, 11 meses, 28 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.","GERENTE GENERAL","CREDICORP LTD.",2012-03-30,2012-03-30,"4 años, 0 meses, 2 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CCR INC.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2012-03-30,2012-03-30,"3 años, 9 meses, 28 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","BANCO DE CREDITO DEL PERU","GERENTE GENERAL","CREDICORP LTD.",2012-03-30,2012-03-30,"3 años, 11 meses, 29 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2012-03-30,2012-03-30,"7 años, 7 meses, 6 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",DIRECTOR,"CREDICORP LTD.",2012-03-30,2012-03-30,"0 años, 11 meses, 28 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"CREDICORP LTD.","GERENTE GENERAL","CREDICORP LTD.",2013-03-21,2013-05-21,"4 años, 11 meses, 21 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"CCR INC.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2013-03-21,2013-05-21,"4 años, 9 meses, 19 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"BANCO DE CREDITO DEL PERU","GERENTE GENERAL","CREDICORP LTD.",2013-03-21,2013-05-21,"4 años, 11 meses, 20 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",,"CREDICORP LTD.",2013-03-21,2013-05-21,"8 años, 6 meses, 25 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",DIRECTOR,"CREDICORP LTD.",2013-03-21,2013-05-21,"1 años, 11 meses, 18 días."
"BAYLY LLONA WALTER","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.","GERENTE GENERAL","CREDICORP LTD.",2013-05-21,2014-03-26,"5 años, 1 meses, 23 días."
