"AFP HORIZONTE S.A.","BBVA Banco Continental","[2011-10-27 / 2013-05-22]","[2011/10 - 2013/5]","BORRA NUÑEZ WALTER ARY","AUDITOR INTERNO","AUDITOR INTERNO","2011 Enero","2013 Julio"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2010-11-04 / 2013-07-25]","[2011/1 - 2013/7]","BRUCE MARTICORENA KARINA VICTORIA","GERENTE DE RECURSOS HUMANOS","GERENTE GENERAL ADJUNTO","2011 Enero","2013 Julio"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2010-11-04 / 2013-07-25]","[2011/1 - 2013/7]","BRUCE MARTICORENA KARINA VICTORIA","GERENTE DE RECURSOS HUMANOS","GER.GEN.ADJ. TALENTO & CULTURA","2011 Enero","2013 Julio"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2011-10-27 / 2013-05-22]","[2011/10 - 2013/5]","CALDERON FUENTES EDWIN HUMBERTO","OFICIAL CUMPLIMIENTO NORMATIVO","GERENTE DE CONTROL INTERNO E I","2011 Enero","2013 Julio"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2008-12-17 / 2008-12-18]","[2008/12 - 2008/12]","CARRANZA JAHNSEN RAFAEL OSCAR",,"GTE GRAL ADJUNTO BCA MAYORISTA","2000 Enero","2009 Diciembre"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2008-12-17 / 2008-12-18]","[2008/12 - 2008/12]","CARRANZA JAHNSEN RAFAEL OSCAR","GERENTE GENERAL","GTE GRAL ADJUNTO BCA MAYORISTA","2000 Enero","2009 Diciembre"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2008-12-17 / 2008-12-18]","[2008/12 - 2008/12]","CARRANZA JAHNSEN RAFAEL OSCAR",DIRECTOR,"GTE GRAL ADJUNTO BCA MAYORISTA","2000 Enero","2009 Diciembre"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2000-03-24 / 2000-05-17]","[2000/3 - 2000/5]","COLOMER GUIU JOSE ANTONIO",DIRECTOR-SUPLENTE,DIRECTOR,"2000 Enero","2009 Diciembre"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2000-05-17 / 2004-02-05]","[2000/5 - 2004/2]","COLOMER GUIU JOSE ANTONIO",DIRECTOR,DIRECTOR,"2000 Enero","2009 Diciembre"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2000-02-07 / 2000-05-17]","[2000/2 - 2000/5]","COLOMER GUIU JOSE ANTONIO",DIRECTOR-SUPLENTE,"GERENTE GENERAL","2000 Enero","2009 Diciembre"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2000-05-17 / 2004-02-05]","[2000/5 - 2004/2]","COLOMER GUIU JOSE ANTONIO",DIRECTOR,"GERENTE GENERAL","2000 Enero","2009 Diciembre"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2008-03-27 / 2009-03-31]","[2008/3 - 2009/3]","DONAIRE MECA JORDI",DIRECTOR,"DIRECTOR SUPLENTE","2000 Enero","2009 Diciembre"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2006-04-19 / 2010-09-30]","[2006/4 - 2009/12]","KLINAR BARBUZA ROBERTO","GTE. RECURSOS HUMANOS","GERENTE DE RECURSOS HUMANOS","2000 Enero","2009 Diciembre"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2003-03-18 / 2004-03-26]","[2003/3 - 2004/3]","MARIN ESTEVEZ JAVIER",,DIRECTOR,"2000 Enero","2009 Diciembre"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2003-03-18 / 2004-03-26]","[2003/3 - 2004/3]","MARIN ESTEVEZ JAVIER","GERENTE GENERAL",DIRECTOR,"2000 Enero","2009 Diciembre"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2002-03-13 / 2002-06-13]","[2002/3 - 2002/6]","MARIN ESTEVEZ JAVIER",,"DIRECTOR SUPLENTE","2000 Enero","2009 Diciembre"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2002-03-13 / 2002-06-13]","[2002/3 - 2002/6]","MARIN ESTEVEZ JAVIER","GERENTE GENERAL","DIRECTOR SUPLENTE","2000 Enero","2009 Diciembre"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2001-03-21 / 2002-03-13]","[2001/3 - 2002/3]","TORRES ALARCON JUAN MANUEL","DIRECTOR -SUPLENTE","DIRECTOR ALTERNO","2000 Enero","2009 Diciembre"
"AFP HORIZONTE S.A.","BBVA Banco Continental","[2002-03-13 / 2006-05-25]","[2002/3 - 2006/5]","TORRES ALARCON JUAN MANUEL","DIRECTOR -SUPLENTE","DIRECTOR SUPLENTE","2000 Enero","2009 Diciembre"
"PRIMA AFP S.A.","CCR Inc. MT-100 Payment Rights Master Trust","[2013-10-03 / 2017-11-29]","[2014/2 - 2014/2]","DASSO MONTERO FERNANDO",DIRECTOR,"PRESIDENTE DEL DIRECTORIO","2014 Febrero","2014 Febrero"
"PRIMA AFP S.A.","CCR Inc. MT-100 Payment Rights Master Trust","[2008-09-25 / 2017-11-29]","[2014/2 - 2014/2]","FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO",DIRECTOR,DIRECTOR,"2014 Febrero","2014 Febrero"
"PRIMA AFP S.A.","CCR Inc. MT-100 Payment Rights Master Trust","[2010-03-04 / 2017-11-29]","[2014/2 - 2014/2]","RUBIO FEIJOO PEDRO",DIRECTOR,DIRECTOR,"2014 Febrero","2014 Febrero"
"PRIMA AFP S.A.","CCR Inc. MT-100 Payment Rights Master Trust","[2010-03-18 / 2013-03-21]","[2012/7 - 2013/3]","BAYLY LLONA WALTER","PRESIDENTE DEL DIRECTORIO","PRESIDENTE DEL DIRECTORIO","2012 Julio","2013 Noviembre"
"PRIMA AFP S.A.","CCR Inc. MT-100 Payment Rights Master Trust","[2008-06-02 / 2013-10-03]","[2012/7 - 2013/10]","CORREA MALACHOWSKI ALVARO",DIRECTOR,DIRECTOR,"2012 Julio","2013 Noviembre"
"PRIMA AFP S.A.","CCR Inc. MT-100 Payment Rights Master Trust","[2013-10-03 / 2017-11-29]","[2013/10 - 2013/11]","DASSO MONTERO FERNANDO",DIRECTOR,"PRESIDENTE DEL DIRECTORIO","2012 Julio","2013 Noviembre"
"PRIMA AFP S.A.","CCR Inc. MT-100 Payment Rights Master Trust","[2008-09-25 / 2017-11-29]","[2012/7 - 2013/11]","FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO",DIRECTOR,DIRECTOR,"2012 Julio","2013 Noviembre"
"PRIMA AFP S.A.","CCR Inc. MT-100 Payment Rights Master Trust","[2010-03-04 / 2017-11-29]","[2012/7 - 2013/11]","RUBIO FEIJOO PEDRO",DIRECTOR,DIRECTOR,"2012 Julio","2013 Noviembre"
"PRIMA AFP S.A.","CCR Inc. MT-100 Payment Rights Master Trust","[2013-10-03 / 2017-11-29]","[2014/5 - 2017/2]","DASSO MONTERO FERNANDO",DIRECTOR,"PRESIDENTE DEL DIRECTORIO","2014 Mayo","2017 Febrero"
"PRIMA AFP S.A.","CCR Inc. MT-100 Payment Rights Master Trust","[2008-09-25 / 2017-11-29]","[2014/5 - 2017/2]","FERRARI DE LAS CASAS GIANFRANCO PIERO DARIO",DIRECTOR,DIRECTOR,"2014 Mayo","2017 Febrero"
"PRIMA AFP S.A.","CCR Inc. MT-100 Payment Rights Master Trust","[2010-03-04 / 2017-11-29]","[2014/5 - 2017/2]","RUBIO FEIJOO PEDRO",DIRECTOR,DIRECTOR,"2014 Mayo","2017 Febrero"
"PRIMA AFP S.A.","Cementos Pacasmayo S.A.A.","[2009-03-26 / 2010-03-03]","[2009/3 - 2009/12]","ROMERO PAOLETTI DIONISIO","PRESIDENTE DEL DIRECTORIO",DIRECTOR,"2005 Octubre","2009 Diciembre"
"PRIMA AFP S.A.","Cementos Pacasmayo S.A.A.","[2009-03-02 / 2009-03-26]","[2009/3 - 2009/3]","ROMERO PAOLETTI DIONISIO",DIRECTOR,DIRECTOR,"2005 Octubre","2009 Diciembre"
"PROFUTURO AFP",Citileasing,"[2001-01-30 / 2001-07-18]","[2001/1 - 2001/7]","ALVAREZ CALDERON MELENDEZ GUILLERMO MANUEL JESUS",DIRECTOR,DIRECTOR,"2000 Octubre","2004 Octubre"
"PROFUTURO AFP",Citileasing,"[2002-02-08 / 2003-09-05]","[2002/2 - 2003/9]","DEL RIO JIMENEZ MANUEL ARTURO","VICEPRESIDENTE DEL DIRECTORIO",DIRECTOR,"2000 Octubre","2004 Octubre"
"AFP HORIZONTE S.A.","Continental Sociedad Titulizadora S.A.","[2011-07-18 / 2017-11-29]","[2011/7 - 2013/7]","GONZALES CHIRINOS BRUNO","GTE DE MIDDLE OFFICE Y REG MCD","ASESOR LEGAL","2011 Mayo","2013 Julio"
"AFP HORIZONTE S.A.","Continental Sociedad Titulizadora S.A.","[2002-04-02 / 2002-10-17]","[2002/4 - 2002/10]","PELLEJERO COLLADO ENRIQUE","DIRECTOR SUPLENTE",DIRECTOR,"2002 Enero","2007 Mayo"
"AFP HORIZONTE S.A.","Continental Sociedad Titulizadora S.A.","[2002-10-17 / 2004-02-05]","[2002/10 - 2004/2]","PELLEJERO COLLADO ENRIQUE",DIRECTOR,DIRECTOR,"2002 Enero","2007 Mayo"
"AFP HORIZONTE S.A.","Continental Sociedad Titulizadora S.A.","[2008-12-17 / 2009-01-30]","[2008/12 - 2009/1]","CARRANZA JAHNSEN RAFAEL OSCAR",,"PRESIDENTE DEL DIRECTORIO","2007 Diciembre","2009 Noviembre"
"AFP HORIZONTE S.A.","Continental Sociedad Titulizadora S.A.","[2008-12-17 / 2009-01-30]","[2008/12 - 2009/1]","CARRANZA JAHNSEN RAFAEL OSCAR","GERENTE GENERAL","PRESIDENTE DEL DIRECTORIO","2007 Diciembre","2009 Noviembre"
"AFP HORIZONTE S.A.","Continental Sociedad Titulizadora S.A.","[2008-12-17 / 2009-01-30]","[2008/12 - 2009/1]","CARRANZA JAHNSEN RAFAEL OSCAR",DIRECTOR,"PRESIDENTE DEL DIRECTORIO","2007 Diciembre","2009 Noviembre"
"PROFUTURO AFP","Corporacion Financiera de Desarrollo","[2008-12-15 / 2009-01-14]","[2008/12 - 2009/1]","GRADOS SMITH PEDRO LUIS TIRSO","GERENTE DE INVERSIONES",DIRECTOR,"2000 Enero","2009 Diciembre"
"PRIMA AFP S.A.","Credicorp Capital Sociedad Titulizadora S.A.","[2007-03-28 / 2008-02-29]","[2007/3 - 2008/2]","CIGÜEÑAS GUEVARA BENEDICTO",DIRECTOR,DIRECTOR,"2005 Octubre","2009 Noviembre"
