companyId,shareholderId,participation,beginDate,endDate,serie
24,77,20.49,2013-10-18,2013-10-25,
24,77,20.39,2013-10-25,2013-10-28,
24,77,20.36,2013-10-28,2013-10-29,
24,77,20.35,2013-10-29,2013-11-04,
24,77,20.33,2013-11-04,2013-11-13,
24,77,20.32,2013-11-13,2013-11-14,
24,77,2.33,2013-11-14,2013-11-14,
24,77,20.33,2013-11-14,2013-11-19,
24,77,20.35,2013-11-19,2013-11-21,
24,77,20.37,2013-11-22,2013-12-02,
24,77,20.36,2013-12-02,2013-12-04,
24,77,20.38,2013-12-04,2013-12-05,
24,77,20.39,2013-12-05,2013-12-10,
24,77,20.4,2013-12-10,2013-12-16,
24,77,20.39,2013-12-16,2013-12-18,
24,77,20.35,2013-12-18,2013-12-19,
24,77,20.34,2013-12-19,2013-12-20,
24,77,20.18,2013-12-20,2013-12-23,
24,77,20.14,2013-12-23,2013-12-27,
24,77,20.13,2013-12-27,2014-01-08,
24,77,20.07,2014-01-08,2014-01-31,
24,77,20.06,2014-01-31,2014-02-03,
24,77,20.04,2014-02-03,2014-02-04,
24,77,20.03,2014-02-04,2014-02-05,
24,77,19.84,2014-02-05,2014-02-06,
24,77,19.82,2014-02-06,2014-02-10,
24,77,19.79,2014-02-10,2014-02-11,
24,77,19.74,2014-02-11,2014-02-12,
24,77,19.68,2014-02-12,2014-02-13,
24,77,19.65,2014-02-13,2014-02-17,
24,77,19.66,2014-02-17,2014-02-19,
24,77,19.65,2014-02-19,2014-02-24,
24,77,19.61,2014-02-24,2014-02-27,
24,77,19.62,2014-02-27,2014-03-03,
24,77,19.61,2014-03-03,2014-03-11,
24,77,19.6,2014-03-11,2014-03-13,
24,77,19.63,2014-03-13,2014-03-24,
24,77,19.62,2014-03-24,2014-03-31,
24,77,19.64,2014-03-31,2014-04-03,
24,77,19.65,2014-04-03,2014-04-08,
24,77,19.66,2014-04-08,2014-04-09,
24,77,19.73,2014-04-09,2014-04-15,
24,77,19.74,2014-04-15,2014-04-16,
24,77,19.71,2014-04-16,2014-04-29,
24,77,19.66,2014-04-29,2014-04-30,
24,77,19.61,2014-04-30,2014-05-05,
24,77,19.59,2014-05-05,2014-05-06,
24,77,19.57,2014-05-06,2014-05-08,
24,77,19.56,2014-05-08,2014-05-12,
24,77,19.55,2014-05-12,2014-05-23,
24,77,19.54,2014-05-23,2014-05-27,
24,77,19.53,2014-05-27,2014-05-28,
24,77,19.46,2014-05-28,2014-06-13,
24,77,19.45,2014-06-13,2014-06-17,
24,77,19.44,2014-06-17,2014-07-02,
24,77,19.42,2014-07-02,2014-07-07,
24,77,19.41,2014-07-07,2014-07-09,
24,77,19.4,2014-07-09,2014-07-10,
24,77,19.39,2014-07-10,2014-07-21,
24,77,19.43,2014-07-21,2014-08-04,
24,77,19.42,2014-08-04,2014-08-22,
24,77,19.41,2014-08-22,2014-08-26,
24,77,19.42,2014-08-26,2014-08-28,
24,77,19.4,2014-08-28,2014-09-03,
24,77,20.16,2014-09-03,2014-09-17,
24,77,20.15,2014-09-17,2014-09-30,
24,77,20.17,2014-09-30,2014-10-01,
24,77,20.18,2014-10-01,2014-10-02,
24,77,20.28,2014-10-02,2014-10-03,
24,77,20.29,2014-10-03,2014-10-21,
24,77,20.3,2014-10-21,2014-10-24,
24,77,20.31,2014-10-24,2014-10-30,
24,77,20.3,2014-10-30,2014-10-31,
24,77,20.18,2014-10-31,2014-11-03,
24,77,20.07,2014-11-03,2014-11-10,
24,77,20.08,2014-11-10,2014-11-14,
24,77,20.05,2014-11-14,2014-11-17,
24,77,20.07,2014-11-17,2014-11-18,
24,77,20.08,2014-11-18,2014-12-10,
24,77,20.07,2014-12-10,2014-12-11,
24,77,20.04,2014-12-11,2014-12-12,
24,77,20.02,2014-12-12,2014-12-15,
24,77,19.99,2014-12-15,2014-12-17,
24,77,19.92,2014-12-17,2014-12-18,
24,77,19.91,2014-12-18,2014-12-22,
24,77,19.9,2014-12-22,2014-12-24,
24,77,19.88,2014-12-24,2014-12-26,
24,77,10.86,2014-12-26,2014-12-26,
24,77,19.86,2014-12-26,2015-01-05,
24,77,19.85,2015-01-05,2015-01-08,
24,77,19.76,2015-01-08,2015-01-09,
24,77,19.66,2015-01-09,2015-01-12,
24,77,19.61,2015-01-12,2015-01-22,
24,77,19.55,2015-01-22,2015-01-23,
24,77,19.41,2015-01-23,2015-01-26,
24,77,19.42,2015-01-26,2015-01-29,
24,77,19.41,2015-01-29,2015-01-30,
24,77,19.42,2015-01-30,2015-02-17,
24,77,19.4,2015-02-17,2015-02-20,
24,77,19.39,2015-02-20,2015-02-24,
24,77,19.4,2015-02-24,2015-03-05,
24,77,19.41,2015-03-05,2015-03-10,
24,77,19.4,2015-03-10,2015-03-11,
24,77,19.35,2015-03-11,2015-03-12,
24,77,19.27,2015-03-12,2015-03-16,
24,77,19,2015-03-16,2015-03-26,
24,77,18.99,2015-03-26,2015-04-09,
24,77,18.98,2015-04-09,2015-04-14,
24,77,18.99,2015-04-14,2015-04-15,
24,77,19,2015-04-15,2015-04-27,
24,77,18.99,2015-04-27,2015-05-06,
24,77,19,2015-05-06,2015-05-07,
24,77,18.99,2015-05-07,2015-05-11,
24,77,18.98,2015-05-11,2015-05-13,
24,77,18.86,2015-05-13,2015-05-15,
24,77,18.83,2015-05-15,2015-05-20,
24,77,18.8,2015-05-20,2015-05-26,
24,77,18.77,2015-05-26,2015-06-03,
24,77,18.76,2015-06-03,2015-06-04,
24,77,18.7,2015-06-04,2015-06-05,
24,77,18.65,2015-06-05,2015-06-17,
24,77,18.66,2015-06-17,2015-06-18,
24,77,18.57,2015-06-18,2015-06-19,
24,77,18.55,2015-06-19,2015-06-22,
24,77,18.49,2015-06-22,2015-06-23,
24,77,18.47,2015-06-23,2015-06-24,
24,77,18.46,2015-06-24,2015-06-25,
24,77,18.42,2015-06-25,2015-07-01,
24,77,18.41,2015-07-01,2015-07-02,
24,77,18.42,2015-07-02,2015-07-06,
24,77,18.41,2015-07-06,2015-07-07,
24,77,18.4,2015-07-07,2015-07-09,
24,77,18.39,2015-07-09,2015-07-16,
24,77,18.4,2015-07-16,2015-07-22,
24,77,18.39,2015-07-22,2015-08-12,
24,77,18.4,2015-08-12,2015-08-13,
24,77,18.41,2015-08-13,2015-08-17,
24,77,18.42,2015-08-17,2015-08-18,
24,77,18.43,2015-08-18,2015-08-20,
24,77,18.45,2015-08-20,2015-08-24,
24,77,18.46,2015-08-24,2015-08-25,
24,77,18.47,2015-08-25,2015-08-28,
24,77,18.54,2015-08-28,2015-09-01,
24,77,18.58,2015-09-01,2015-09-02,
24,77,18.57,2015-09-02,2015-09-04,
24,77,18.56,2015-09-04,2015-09-08,
24,77,18.55,2015-09-08,2015-09-09,
24,77,18.53,2015-09-09,2015-09-18,
24,77,18.53,2015-09-24,2015-10-05,
24,77,18.47,2015-10-05,2015-10-14,
24,77,18.52,2015-10-14,2015-10-19,
24,77,18.51,2015-10-19,2015-10-21,
24,77,18.52,2015-10-21,2015-11-02,
24,77,18.51,2015-11-02,2015-11-06,
24,77,18.52,2015-11-06,2015-11-27,
24,77,18.43,2015-11-27,2015-12-01,
24,77,18.42,2015-12-01,2015-12-07,
24,77,18.37,2015-12-07,2015-12-09,
24,77,18.33,2015-12-09,2015-12-22,
24,77,18.27,2015-12-22,2015-12-24,
24,77,18.24,2015-12-24,2016-01-11,
24,77,18.25,2016-01-11,2016-01-13,
24,77,18.24,2016-01-13,2016-01-22,
24,77,18.2,2016-01-22,2016-01-28,
24,77,18.22,2016-01-28,2016-02-01,
24,77,18.21,2016-02-01,2016-02-02,
24,77,18.22,2016-02-02,2016-02-10,
24,77,18.27,2016-02-10,2016-02-17,
24,77,18.28,2016-02-17,2016-02-18,
24,77,18.29,2016-02-18,2016-02-24,
24,77,18.28,2016-02-24,2016-03-03,
24,77,18.27,2016-03-03,2016-03-14,
24,77,18.28,2016-03-14,2016-03-17,
24,77,18.29,2016-03-17,2016-03-21,
24,77,18.28,2016-03-21,2016-03-22,
24,77,18.27,2016-03-22,2016-03-28,
24,77,18.26,2016-03-28,2016-03-29,
24,77,18.25,2016-03-29,2016-03-30,
24,77,18.23,2016-03-30,2016-04-07,
24,77,18.24,2016-04-07,2016-04-08,
24,77,18.25,2016-04-08,2016-04-13,
24,77,18.28,2016-04-13,2016-04-14,
24,77,18.26,2016-04-14,2016-04-15,
24,77,18.24,2016-04-15,2016-04-18,
24,77,18.21,2016-04-18,2016-04-20,
24,77,18.2,2016-04-20,2016-04-22,
24,77,18.17,2016-04-22,2016-04-29,
24,77,18.16,2016-04-29,2016-05-10,
24,77,18.18,2016-05-10,2016-05-11,
24,77,18.25,2016-05-11,2016-05-12,
24,77,18.26,2016-05-12,2016-05-13,
24,77,18.27,2016-05-13,2016-05-17,
24,77,18.3,2016-05-17,2016-05-24,
24,77,18.29,2016-05-24,2016-06-08,
24,77,18.28,2016-06-08,2016-06-09,
24,77,18.26,2016-06-09,2016-06-14,
24,77,18.24,2016-06-14,2016-06-17,
24,77,18.25,2016-06-17,2016-06-23,
24,77,18.23,2016-06-23,2016-07-06,
24,77,18.24,2016-07-06,2016-07-08,
24,77,18.23,2016-07-08,2016-07-11,
24,77,18.24,2016-07-11,2016-07-18,
24,77,18.22,2016-07-18,2016-07-19,
24,77,18.15,2016-07-19,2016-07-22,
24,77,18.08,2016-07-22,2016-07-25,
24,77,18.02,2016-07-25,2016-08-04,
24,77,18.01,2016-08-04,2016-08-05,
24,77,18,2016-08-05,2016-08-08,
24,77,18.02,2016-08-08,2016-08-09,
24,77,18.03,2016-08-09,2016-08-10,
24,77,18.06,2016-08-10,2016-08-12,
24,77,18.07,2016-08-12,2016-08-16,
24,77,18.17,2016-08-16,2016-08-17,
24,77,18.19,2016-08-17,2016-08-22,
24,77,18.2,2016-08-22,2016-08-23,
24,77,18.19,2016-08-23,2016-08-26,
24,77,18.2,2016-08-26,2016-08-31,
24,77,18.13,2016-08-31,2016-09-02,
24,77,18.12,2016-09-02,2016-09-06,
24,77,18.13,2016-09-06,2016-09-12,
24,77,18.11,2016-09-12,2016-09-15,
24,77,18.1,2016-09-15,2016-09-23,
24,77,18.09,2016-09-23,2016-09-27,
24,77,18.13,2016-09-27,2016-10-03,
24,77,18.14,2016-10-03,2016-10-04,
24,77,18.15,2016-10-04,2016-10-05,
24,77,18.16,2016-10-05,2016-10-07,
24,77,18.17,2016-10-07,2016-10-10,
24,77,18.19,2016-10-10,2016-10-11,
24,77,18.21,2016-10-11,2016-10-12,
24,77,18.2,2016-10-12,2016-10-14,
24,77,18.19,2016-10-14,2016-10-25,
24,77,18,2016-10-25,2016-10-31,
24,77,18.18,2016-10-31,2016-11-04,
24,77,18.08,2016-11-04,2016-11-15,
24,77,18.09,2016-11-15,2016-11-25,
24,77,18.1,2016-11-25,2016-11-28,
24,77,18.06,2016-11-28,2016-11-29,
24,77,18.03,2016-11-29,2016-11-30,
24,77,17.97,2016-11-30,2016-12-01,
24,77,17.94,2016-12-01,2016-12-05,
24,77,17.89,2016-12-05,2016-12-06,
24,77,17.9,2016-12-06,2016-12-07,
24,77,19.86,2016-12-07,2016-12-09,
24,77,17.87,2016-12-09,2016-12-12,
24,77,17.85,2016-12-12,2016-12-15,
24,77,17.84,2016-12-15,2016-12-16,
24,77,17.81,2016-12-16,2016-12-19,
24,77,17.8,2016-12-19,2016-12-23,
24,77,17.79,2016-12-23,2016-12-27,
24,77,17.78,2016-12-27,2017-01-10,
24,77,17.79,2017-01-10,2017-01-20,
24,77,17.77,2017-01-20,2017-01-23,
24,77,17.76,2017-01-23,2017-01-26,
24,77,17.75,2017-01-26,2017-01-30,
