name
J R. LINDLEY 
Janus International Ltd.
JP Morgan Asset Managment (Europe)
JP Morgan Chase & Co - Perú
JP Morgan Chase & Co.
JPMC&CO
JPMorgan Fleming Funds Sicav
KBR Inc.
KEXIM
KKR Associates Americas XII LP
La Polar SA
LAN Airlines S.A.
Larráin Vial S.A. SAF 
Larráin Vial S.A. SAF - Perú
"Legg Mason Fund Adviser, Inc."
Lexington Partners GP Holdings VII LLC
Lexington Partners GP Holdings VIII LLC
Lima Airport Partners
Lima Leasing S.A.
Lima Metro Line 2 Finance Limited
Lojas Renner S.A
M. LYNCH & CO
Maple Energy PLC
MasterCard Inc.
"Matthews International Capital Management, LLC"
Mellon Financial Corp
Mellon Global Management Limited
Merck & Co.
Merril Lynch Investment Managers
Merrill Lynch & Co. Inc.
"MetLife, Inc."
"México Generadora de Energía, S. de R.L."
MFS International
Molycorp Inc.
Moneda Asset Management S.A.
Morgan Stanley
morgan stanley investment advisors inc
Morgan Stanley Investment Management Inc.
Motrola Inc
Muzinich & Co. (Ireland) Limited
National Australia Bank Limited
Natixis Global Associates
NBK Bank
Net Servicios de Comunicación
Newmont Mining Corporation
Newton Investment management Limited
Nextel Communications Inc
"NII Holdings, Inc."
NN Investment Partners Luxembourg S.A.
Nomura Asset Management UK Ltd.
Nordea Bank
Nuevo Mundo Leasing
"Oaktree Principal Fund VI GP, L.P."
Odebretch S.A.
Oil Service Hold trust
Oleoducto Central S.A.
Pacific Rubiales Energy Corp.
PAI Europe VI General Partner S.A.R.L.
Pan American Silver Corporation
Partners Group Management VI Limited
Partners Group Management X Limited
Partners Group Management XI Limited.
"Partners Group Secondary 2011 (USD), L.P. Inc."
PASIA VI GP LLC
Peru Enhanced Pass Trough SSCN
Peru Payroll Deduction Finance Limited
Perubar S.A.
Pesquera Exalmar
PETROBRAS INTERNATIONAL FINANCE COMPANY
Petroleo Brasileiro SA
Petrominerales LTD
Pfizer Inc.
Phelps Dodge Corp
Pictet & Cie Investment Advisors
Pictet Asset Management (Europe) S.A.
"PineBridge Credit Opportunities II GP, LP"
PineBridge investments Ireland Limited
Pioneer Asset Management S.A.
Planta de Reserva Fría de Generación de Eten S.A.
Potash Corporation of Saskatchewan Inc.
"Promotora y Operadora de Infraestructura, S.A.B. de C.V."
Raia Drogasil S.A.
Ransa Comercial S.A.
Red Dorsal Finance Limited
REP
República de Chile
República de Colombia
República Federal de Brasil
República Federal de Rusia
Rio Tinto PlC
Ripley Corp. S.A.
Ripley Corp. S.A. - Perú
Robeco Luxembourg S.A.
Robeco Nederland BV
Rutas de Lima S.A.C.
S.A.C.I. Falabella S.A.
San Miguel Industrias Pet S.A.
Sanpaolo IMI Asset Management
Santander Asset Management Luxembourg S.A.
Santander Mexic
SANTANDER PERÚ
Schlumberger Ltd.
Schroder Investment Management
Scotia Bank Peru DPR Finance Company
Scotia Leasing S.A.
Scotiabank Fideicomiso de Infraestructura 2
SEB Asian Property II SICAV-SIF
Skandinaviska Enskilda Banken AB
Small Enterprise Assistance Funds Perú SAFI
SMU S.A.
Sociedad Gestora de Fondos de Inversión Brookfield - AC Capitales S.A.
Societe Generale
Solución Financiera de Crédito del Perú S.A.
Southern Copper Corporation
Southern Copper Corporation - PE
State Street Bank and Trust Company
TAM Líneas Aéreas S.A.
TAM S.A.
TECK RESOURCES LTD.
Telefonica de Espana
Telemar Norte Leste S.A.
Ternium S.A.
"Terranum Capital Latin America Real Estate Fund GP, Ltd."
"Terranum Capital Latin America Real Estate Fund II GP, Ltd."
Tesoro Corporation
The Estee Lauder Companies Inc.
The Export-Import Bank of Korea
The Mosaic Company
The Vanguard Group Inc.
Threadneedle Investment Services Limited
Tim Participaciones S.A.
"Titan International, Inc."
Tokio Marine Asset Management Co. Ltd (TMAM)
Transocean Ltd.
Transportadora de Gas Internacional S.A. E.S.P.
Treasury
TRG Management L.P.
"UBS, AG"
Unibanco - Uniao de Bancos Brasileiros
Valero Energy Corporation
Van Eck Associates Corporation
Vanguard
Vanguard Group (Ireland) Limited
Visa
Visa Inc.
Vodaphone Group plc
Vontobel Europe
Votorantim Participaciones S.A.
Wachovia Capital IX
Wachovia Capital IX
Wal-Mart de Mexico
Wellington Luxembourg S.à r.l.
Wells Fargo Ban
Wells Fargo Bank NA
WisdomTree Asset Management Inc.
Yahoo Inc.
