"MORALES DASSO JOSE RAIMUNDO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","CCR Inc. MT-100 Payment Rights Master Trust",OTROS,"CREDICORP LTD.",2007-01-01,2007-01-01,"4 años, 2 meses, 23 días."
"RIOS BRICEÑO CESAR GONZALO","PRIMA AFP S.A.",DIRECTOR,Mibanco,"DIRECTOR SUPLENTE","CREDICORP LTD.",2014-03-27,2014-09-05,"0 años, 5 meses, 18 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-02,2009-03-26,"0 años, 10 meses, 2 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.",DIRECTOR,"Credito Leasing S.A.- Credileasing","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-02,2009-03-26,"0 años, 10 meses, 2 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.",DIRECTOR,"Credicorp Capital Sociedad Titulizadora S.A.","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-02,2009-03-26,"0 años, 10 meses, 5 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.",DIRECTOR,"Banco de Crédito del Perú","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-02,2009-03-26,"0 años, 11 meses, 2 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-26,2009-04-22,"0 años, 10 meses, 26 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Edyficar S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-10-21,2010-03-03,"0 años, 6 meses, 18 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Credito Leasing S.A.- Credileasing","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-26,2009-04-22,"0 años, 10 meses, 26 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Credito Leasing S.A.- Credileasing","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-04-22,2009-07-01,"0 años, 0 meses, 27 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Credicorp LTD.","PRESIDENTE EJECUTIVO","CREDICORP LTD.",2009-03-31,2010-03-03,"0 años, 0 meses, 5 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Credicorp LTD.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-31,2010-03-03,"0 años, 0 meses, 5 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Credicorp Capital Sociedad Titulizadora S.A.","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-26,2009-04-22,"0 años, 11 meses, 1 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Credicorp Capital Sociedad Titulizadora S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-04-22,2010-03-03,"0 años, 0 meses, 27 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","VICEPRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-26,2009-03-31,"0 años, 11 meses, 26 días."
"ROMERO PAOLETTI DIONISIO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Banco de Crédito del Perú","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2009-03-31,2010-03-03,"0 años, 0 meses, 5 días."
"ROMERO SEMINARIO DIONISIO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2008-02-29,2008-03-27,"4 años, 10 meses, 19 días."
"ROMERO SEMINARIO DIONISIO FERNANDO","PRIMA AFP S.A.",DIRECTOR,"Credicorp Capital Sociedad Titulizadora S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2008-02-29,2008-03-27,"0 años, 11 meses, 1 días."
"ROMERO SEMINARIO DIONISIO FERNANDO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2008-03-27,2009-03-02,"4 años, 11 meses, 17 días."
"ROMERO SEMINARIO DIONISIO FERNANDO","PRIMA AFP S.A.","PRESIDENTE DEL DIRECTORIO","Credicorp Capital Sociedad Titulizadora S.A.","PRESIDENTE DEL DIRECTORIO","CREDICORP LTD.",2008-03-27,2009-03-02,"0 años, 11 meses, 28 días."
"RUBIO FEIJOO PEDRO","PRIMA AFP S.A.",DIRECTOR,"CCR Inc. MT-100 Payment Rights Master Trust",DIRECTOR,"CREDICORP LTD.",2010-03-04,"A la actualidad","1 años, 9 meses, 2 días."
"RUBIO FEIJOO PEDRO","PRIMA AFP S.A.",DIRECTOR,"Banco de Crédito del Perú","G.CENTRAL DE NEGOCIOS MAYORIST","CREDICORP LTD.",2010-03-04,"A la actualidad","1 años, 11 meses, 3 días."
"ARAMBURU ARIAS IGNACIO","PROFUTURO AFP",DIRECTOR,"Scotiabank del Perú","VPS CFO & BUSINESS SUPPORT","THE BANK OF NOVA SCOTIA",2017-01-30,"A la actualidad","0 años, 1 meses, 15 días."
"ARAMBURU ARIAS IGNACIO","PROFUTURO AFP",DIRECTOR,"Scotia Sociedad Titulizadora S.A.",DIRECTOR,"THE BANK OF NOVA SCOTIA",2017-01-31,"A la actualidad","0 años, 0 meses, 1 días."
