"PELLEJERO COLLADO ENRIQUE","GRUPO BBVA","[2002-04-02 / 2002-10-17]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos de Titulización",Antes
"PELLEJERO COLLADO ENRIQUE","GRUPO BBVA","[2002-04-02 / 2002-10-17]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos Hipotecarios del Sector Financiero",Después
"PELLEJERO COLLADO ENRIQUE","GRUPO BBVA","[2002-04-02 / 2002-10-17]","Continental Sociedad Titulizadora S.A.","AFP HORIZONTE S.A.","Bonos Titulizados Hipotecarios",Después
"BAYLY LLONA WALTER","CREDICORP LTD.","[2007-01-01 / 2007-03-28]","Credicorp LTD.","PRIMA AFP S.A.","Acciones Comunes",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2007-01-01 / 2007-01-01]","CCR Inc. MT-100 Payment Rights Master Trust","PRIMA AFP S.A.","Bonos de Titulización",Después
"BAYLY LLONA WALTER","CREDICORP LTD.","[2007-01-01 / 2007-03-28]","CCR Inc. MT-100 Payment Rights Master Trust","PRIMA AFP S.A.","Bonos de Titulización",Después
"BAYLY LLONA WALTER","CREDICORP LTD.","[2007-01-01 / 2007-03-28]","Banco de Crédito del Perú","PRIMA AFP S.A.","Acciones Comunes",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2007-01-01 / 2007-03-28]","Banco de Crédito del Perú","PRIMA AFP S.A.","Bonos de Arrendamiento Financiero",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2007-01-01 / 2007-03-28]","Banco de Crédito del Perú","PRIMA AFP S.A.","Bonos Hipotecarios del Sector Financiero",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2007-01-01 / 2007-03-28]","Banco de Crédito del Perú","PRIMA AFP S.A.","Bonos Subordinados",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2007-01-01 / 2007-03-28]","Banco de Crédito del Perú","PRIMA AFP S.A.","Certificado de Deposito Estructurado",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2007-01-01 / 2007-03-28]","Banco de Crédito del Perú","PRIMA AFP S.A.","Certificado de Depósito Individual",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2007-01-01 / 2007-03-28]","Banco de Crédito del Perú","PRIMA AFP S.A.","Cuentas Corrientes",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2007-01-01 / 2007-03-28]","Banco de Crédito del Perú","PRIMA AFP S.A.","Depósitos a Plazo",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2007-01-01 / 2007-03-28]","Banco de Crédito del Perú","PRIMA AFP S.A.","Otros Bonos Sector Financiero",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2007-01-01 / 2007-03-28]","Banco de Crédito del Perú","PRIMA AFP S.A.","Certificados de Depósitos Seriados",Después
"BAYLY LLONA WALTER","CREDICORP LTD.","[2010-03-18 / 2010-03-31]","Edyficar S.A.","PRIMA AFP S.A.","Otros Bonos Sector Financiero",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2010-03-18 / 2010-03-31]","Edyficar S.A.","PRIMA AFP S.A.","Bonos Subordinados",Después
"BAYLY LLONA WALTER","CREDICORP LTD.","[2010-03-18 / 2010-03-31]","Edyficar S.A.","PRIMA AFP S.A.","Depósitos a Plazo",Después
"BAYLY LLONA WALTER","CREDICORP LTD.","[2010-03-18 / 2013-03-21]","Credicorp LTD.","PRIMA AFP S.A.","Acciones Comunes",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2010-03-18 / 2013-03-21]","CCR Inc. MT-100 Payment Rights Master Trust","PRIMA AFP S.A.","Bonos de Titulización",Nuevo
"BAYLY LLONA WALTER","CREDICORP LTD.","[2010-03-18 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.","Acciones Comunes",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2010-03-18 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.","Bonos de Arrendamiento Financiero",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2010-03-18 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.","Bonos Hipotecarios del Sector Financiero",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2010-03-18 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.","Bonos Subordinados",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2010-03-18 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.","Certificado de Deposito Estructurado",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2010-03-18 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.","Certificado de Depósito Individual",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2010-03-18 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.","Cuentas Corrientes",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2010-03-18 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.","Depósitos a Plazo",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2010-03-18 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.","Otros Bonos Sector Financiero",Antes
"BAYLY LLONA WALTER","CREDICORP LTD.","[2010-03-18 / 2013-03-21]","Banco de Crédito del Perú","PRIMA AFP S.A.","Certificados de Depósitos Seriados",Nuevo
"BAYLY LLONA WALTER","CREDICORP LTD.","[2007-03-28 / 2008-02-29]","Credicorp LTD.","PRIMA AFP S.A.","Acciones Comunes",Antes
