"Pluspetrol Lote 56 S.A.",103
"Pluspetrol Norte S.A.",104
"Quimpac S.A.",105
"Red de Energia del Peru S.A.",106
"Refinería la Pampilla S.A.",107
"Aberdeen Global Services S.A.",180
"Aguas Andinas S.A.",184
"Banco Santander Perú",16
"Cielo S.A.",283
"Compañía Minera Atacocha S.A.A.",33
"Clariden Investment Management (Guernsey Limited",285
"CN Odebretch",286
"COAZUCAR DEL PERU S.A.",287
"Compañía Minera Milpo S.A.",34
"Coller International General Partner VII L.P.",290
"Colombia Teleco",291
"Corporación Primax S.A",309
"Compañía Brasilereira de BeBanco Interamericano de Desarrolloa",293
"Compañía de Electricidad del Estado de Bahía",294
"Compañía Nacional de Chocolates S.A.",295
Credititulos,317
"Compañía Vale do Rio Doce",297
"Compartamos Financiera S.A.",298
"Constructora Norberto Odebretch S.A.",299
"Continental Resources Inc.",300
"Continental Trust",303
"Conventum Asset Management",304
"Corp Group Banking S.A.",306
CorpBanca,307
"Cosan Limited",310
"Covidien PLC",312
"Credit Agricole Asset Management ",314
"Credit Suisse International",315
Davivienda,320
"DBS Bank Ltd",321
"DeAWM Investmen",322
"DEPÓSITOS OVERNIGHT - CMS",323
"Deutsche Bank, London Branch - Peru",325
"Deutsche Telekom Ag",326
"Discover Financial Services",329
"DnB Bank ASA",330
"DUKE E.I EGENOR",332
"DWS Investment S.A.",333
"E.T de Bogota",334
"E-CL S.A",336
"EDM Gestión, S.A., S.G.I.I.C.",338
EE10,339
EE12,341
"Efic Partners S.A.C.",342
Electroandes,344
"Emblem Finance N 02",346
Emgesa,347
"EMPRESAS PÚBLICAS DE MEDELLIN",350
"Energía Eólica S.A.",351
"RIPLEY CORP S.A.",108
"SOLUCION EMPRESA ADMINISTRADORA HIPOTECARIA S.A.",116
"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERU",118
"AC Capitales SAFI S.A.",1
"Administradora Jockey Plaza Shopping Center S.A.",2
"Amérika Financiera S.A.",4
"Andino Investment Holding S.A.A.",5
"Austral Group S.A.A.",6
"Banco de Comercio",7
"Banco Falabella",9
"Banco Financiero del Perú",10
"Banco GNB Perú S.A.",11
"Banco Interamericano de Finanzas",12
"Banco Nuevo Mundo",14
"Banco Ripley",15
"BBVA America Finance",17
"BBVA Banco Continental",18
"Caja Municipal de Ahorro y Crédito de Arequipa S.A.",19
"Caja Municipal de Ahorro y Crédito de Huancayo S.A.",20
"Caja Municipal de Ahorro y Crédito de Sullana S.A.",21
"CCR Inc. MT-100 Payment Rights Master Trust",22
"Cemento Andino S.A.",23
"Cementos Pacasmayo S.A.A.",24
"Cineplex S.A.",27
"Citibank N.A. (Perú)",28
"Citicorp Peru Sociedad Titulizadora S.A.",29
Citileasing,30
"Compass Group SAFI S.A.",35
"Concesionaria Trasvase Olmos",36
"Consorcio Agua Azul S.A.",37
"Consorcio Transmantaro S.A.",38
"Corp. Aceros Arequipa S.A.",40
"América Móvil Perú S.A.C.",190
"EOG Resources, Inc.",355
"Fannie Mae",357
"Fidelity International Ltd",360
"FIL Investment Management (Luxembourg) S.A.",361
Findeter,363
"First Quantum Minerals Ltd.",364
"First Trust Advisors L.P.",365
"BankBoston, N.A.,Sucursal del Peru",133
"Bellsouth Peru S.A.",134
"Citibank, N.A., Sucursal de Lima",135
"Ingenieros Civiles y Contratistas Generales S.A.",136
"Fluor Corporation",366
"Freddie Mac",369
"Freeport - McMoran Copper & Gold",370
"Gafisa S.A.",371
"GAM (Luxembourg) S.A.",372
"Gartmore Investment Limited",374
"General Electric",376
"Gerdau S.A.",377
"GOB COL",379
"GOB MEX",380
"Gobierno de Alemania",382
"Gobierno de Australia",383
"Gobierno Reino Unido",385
"Corporación Azucarera del Perú S.A.",42
"Corporacion Financiera de Desarrollo",43
"Corporación Pesquera Inca S.A.C.",44
"Cosapi S.A.",45
"Credicorp Capital Sociedad Titulizadora S.A.",46
"Credicorp LTD.",47
"Crediscotia Financiera",48
"Deutsche Bank (Peru) S.A.",50
"Edyficar S.A.",51
"Pacífico Peruano-Suiza Compañía de Seguros y Reaseguros S.A.",52
"Empresa de Generación Eléctrica Cahua",53
"Empresa Editora El Comercio S.A.",54
"Empresa Siderúrgica del Peru S.A. (Siderperu)",55
"Enel Distribucion Peru S.A.A.",56
"Enfoca SAFI S.A.",58
"Engie Energía Perú S.A.",59
"Falabella Perú S.A.",60
"Faro Capital SAFI S.A.",61
"Ferreycorp S.A.A.",62
"Financiera Confianza S.A.A.",64
"Financiera Efectiva S.A.",65
"Financiera Oh! S.A.",66
"Gas Natural de Lima y Callao S.A.",68
"Gloria S.A.",69
"Grana y Montero S.A.A.",70
"Grupo ACP Inversiones y Desarrollo",71
"GYM Ferrovias S.A.",72
"Hipermercados Tottus S.A.",73
"Hochschild Mining Plc",74
"H2Olmos S.A.",75
"Inmuebles Comerciales del Perú S.A.C.",78
"InRetail Peru Corp.",79
"Intercorp Perú Ltd.",80
"International Finance Corporation",82
Interseguro,83
"Inversiones Centenario S.A.A.",84
"Kallpa Generacion S.A.",85
"SAB Miller Plc - Perú",109
"Saga Fallabella",110
"Scotia Sociedad Titulizadora S.A.",111
"Scotiabank del Perú",112
"Sigma SAFI SA",113
"Sociedad Minera Cerro Verde",114
"Sociedad Minera El Brocal S.A.",115
"Southern Cone Power Peru",117
"SUMMA SAFI S.A.C.",119
"Telefonica del Peru S.A.A.",121
"Telefónica Móviles S.A.",122
"Terminales Portuarios Euroandinos Paita S.A.",123
"Titulizadora Peruana Sociedad Titulizadora S.A.",124
"Transportadora de Gas del Perú S.A.",125
"Unión Andina de Cementos S.A.A.",126
"Universal Textil S.A.",128
"Volcan Cia Minera S.A.A.",129
"W Capital SAFI S.A.",130
"Yura S.A.",131
ZINSA,132
"América Movil SAB de CV",191
"Google Inc.",388
"Grupo Aval Acciones y Valores S.A.",391
"Grupo Embotellador Atic, S.L.",393
"Grupo Financiero Banorte S.A.B.",394
"Grupo Financiero Santander México, S.A.B. de C.V.",395
"Grupo Sindicato Pesquero del Peru S.A.",397
"Grupo Televisa S.A.",398
"Guanay Finance Limited",400
"Harbor Capital Advisors",402
"HarbourVest IX-Buyout Associates LLC",403
"Henderson Investment Funds Limited",405
"HIPEP VII Associates LLC",407
"Home Depot Inc.",409
"Homex S.A.",410
"Honeywell International Inc",411
"ICA, S.A.B. de C.V.",413
"IIRSA Norte Finance Limited",415
"InRetail Shopping Malls",417
"Intercorp Retail Trust",418
Intergroup,419
"Interoceanica V Finance Limited",421
"Interproperties Finance Trust",422
Invesco,424
"Invesco Management S.A.",427
"Investec Global Strategy Fund",428
"ITAU Corpbanca / Corpbanca NY Branch",430
"ITAU UNIBANCO",431
"Janus International Ltd.",434
"JP Morgan Chase & Co - Perú",436
JPMC&CO,437
"JPMorgan Fleming Funds Sicav",438
"KBR Inc.",439
KEXIM,440
"La Polar SA",442
"LAN Airlines S.A.",443
"Legg Mason Fund Adviser, Inc.",446
"Lima Airport Partners",449
"Lima Leasing S.A.",450
"Lima Metro Line 2 Finance Limited",451
"Lojas Renner S.A",452
"M. LYNCH & CO",453
"Maple Energy PLC",454
"MasterCard Inc.",455
"Mellon Global Management Limited",458
"Merck & Co.",459
"Merril Lynch Investment Managers",460
"Merrill Lynch & Co. Inc.",461
"MFS International",464
"Molycorp Inc.",465
"Morgan Stanley",467
"morgan stanley investment advisors inc",468
"Motrola Inc",470
"Muzinich & Co. (Ireland) Limited",471
"Natixis Global Associates",473
"NBK Bank",474
"Newmont Mining Corporation",476
"Newton Investment management Limited",477
"NII Holdings, Inc.",479
"Nordea Bank",482
"Oaktree Principal Fund VI GP, L.P.",484
"Odebretch S.A.",485
"Oleoducto Central S.A.",487
"Pacific Rubiales Energy Corp.",488
"Pan American Silver Corporation",490
"Partners Group Management VI Limited",491
"Partners Group Management X Limited",492
"Partners Group Secondary 2011 (USD), L.P. Inc.",494
"PASIA VI GP LLC",495
"Peru Enhanced Pass Trough SSCN",496
"Peru Payroll Deduction Finance Limited",497
"Perubar S.A.",498
"Petroleo Brasileiro SA",501
"Pfizer Inc.",503
"Phelps Dodge Corp",504
"Pictet Asset Management (Europe) S.A.",506
"PineBridge Credit Opportunities II GP, LP",507
"PineBridge investments Ireland Limited",508
"Potash Corporation of Saskatchewan Inc.",511
"Raia Drogasil S.A.",513
"Ransa Comercial S.A.",514
"Red Dorsal Finance Limited",515
REP,516
"Abengoa Transmisión Sur S.A. (Perú)",179
"Activision Blizzard Inc.",183
"Alliance Bernstein L.P",187
"Apollo Credit Opportunity Advisors III LP",195
"Compañía Minera San Ignacio de Morococha",281
"Arcos Dorados Holdings Inc.",199
"ASSF Operating Manager IV, LP",203
"Avenue Europe Capital Partners III, LLC",206
"Corporación Cervesur S.A.A.",282
"Aviva Investors Luxembourg S.A.",211
"Baker Hughes Inc.",216
"Banco Davivienda S.A.",225
"Banco Interamericano de Desarrollo",229
"Banco Santander de Brasil S.A.",232
"Banco Sudamericano S.A.",237
"bank of new york",241
"Banque BNP Paribas - Andes S.A.",243
"BCP - PF Fideicomiso en Infraestructura",248
"BNY Mellon Fund Management (Luxembourg) S.A.",257
"BROWN BROTHERS",263
"BTG Pactual",266
"Canacol Energy Ltd.",269
"Carlyle South America Buyout General Partner, L.P.",272
"República Federal de Rusia",520
"Rio Tinto PlC",521
"Ripley Corp. S.A. - Perú",523
"Robeco Luxembourg S.A.",524
"Robeco Nederland BV",525
"S.A.C.I. Falabella S.A.",527
"Santander Asset Management Luxembourg S.A.",530
"Santander Mexic",531
"SANTANDER PERÚ",532
"Schlumberger Ltd.",533
"Scotia Bank Peru DPR Finance Company",535
"Scotia Leasing S.A.",536
"Skandinaviska Enskilda Banken AB",539
"Small Enterprise Assistance Funds Perú SAFI",540
"SMU S.A.",541
"Societe Generale",543
"Southern Copper Corporation",545
"Southern Copper Corporation - PE",546
"State Street Bank and Trust Company",547
"TAM S.A.",549
"TECK RESOURCES LTD.",550
"Telefonica de Espana",551
"Ternium S.A.",553
"Tesoro Corporation",556
"The Estee Lauder Companies Inc.",557
"The Export-Import Bank of Korea",558
"The Mosaic Company",559
"The Vanguard Group Inc.",560
"Tim Participaciones S.A.",562
"Titan International, Inc.",563
"Transocean Ltd.",565
Treasury,567
"TRG Management L.P.",568
"UBS, AG",569
"Valero Energy Corporation",571
"Van Eck Associates Corporation",572
Vanguard,573
Visa,575
"Vodaphone Group plc",577
"Vontobel Europe",578
"Wachovia Capital IX",580
"Wal-Mart de Mexico",581
"Wells Fargo Ban",583
"WisdomTree Asset Management Inc.",585
"Yahoo Inc.",586
"Coca Cola Femsa S.A.B. de C.V:",288
"Colombia Telecomunicaciones S.A. E.S.P.",292
"Compañía Sidergica Nacional",296
"Continental Senior Trust",301
"Copa Holdings S.A.",305
"Corporación José R. Lindley S.A.",308
"Creditex  S.A.A.",316
"CRPAO PEN Trust Nº1 Series 2008-100",318
"Deutsche Asset Management S.A.",324
"Discover Financ",328
"Eastspring Investments (Luxembourg) S.A.",335
EE11,340
"El Puerto de Liverpool S.A.B. de C.V.",343
"Emgesa S.A. E.S.P",348
"Enersis S.A.",352
ENERSUR,353
"República Federal de Brasil",519
"Compañía de Minas Buenaventura S.A.A.",31
"Banco de Crédito del Perú",8
"Banco Internacional del Peru S.A.A. (Interbank)",13
Chinango,26
"Continental Sociedad Titulizadora S.A.",39
"Corporación Andina de Fomento",41
"Credito Leasing S.A.- Credileasing",49
"Enel Generación Perú S.A.A.",57
"Fondo Mivivienda S.A.",67
"ORAZUL ENERGY EGENOR S. EN C. POR A.",76
"Latino Leasing S.A.",87
"Minera Barrick Misquichilca S.A.",95
"Pluspetrol Camisea S.A.",102
"Supermercados Peruanos",120
"Union de Cervecerias Peruanas Backus y Johnston S.A.",127
"Arcos Dorados B.V.",198
"Australia and New Zealand Banking Group Ltd.",204
"BAC Capital Trust S.A.",215
"Banco Bilbao Vizcaya Argentaria Colombia S.A.",219
"Banco Central de Reserva del Perú",223
"Banco Latinomaricano de Exportaciones",231
"Bank of New York - Fiduciario",242
"BlackRock Asset Management Ireland Limited",250
"BlackRock Institutional Trust Company",253
"BRF Brasil Foods S.A.",260
"Capital International Asset Management",270
"Cencosud S.A.",25
"Central American Bank for Economic Integration",276
"Citigroup Inc",284
"Coller International General Partner VI, L.P.",289
"Continental Senior Trust II",302
"Cosan S.A.",311
"Credifondo S.A. SAF",313
"Financiera de Desarrollo Territorial S.A.",362
"FRANKLIN TEMPLETON INTERNATIONAL SERVICES S.A",367
"GAM International Management Limited",373
"GOB CHILE",378
"Gobierno Central",381
"Gobierno de México",384
"Grana y Montero Edificaciones S.A.",389
"Grupo de Inversiones Suramericana S.A.",392
"Grupo Mexico, S.A.B. de C.V.",396
"Halliburton Company",401
"HarbourVest Partners L.P.",404
"IBK DPR SECURITIZADORA",412
"InRetail Consumer",416
"Interoceanica IV Finance Limited",420
"Inversiones Alsacia S.A. ",423
"Itau Unibanco Holding S.A",432
"JP Morgan Asset Managment (Europe)",435
"KKR Associates Americas XII LP",441
"Larráin Vial S.A. SAF",444
"Lexington Partners GP Holdings VII LLC",447
"Matthews International Capital Management, LLC",456
"MetLife, Inc.",462
"Moneda Asset Management S.A.",466
"Morgan Stanley Investment Management Inc.",469
"Net Servicios de Comunicación",475
"Nextel Communications Inc",478
"Oil Service Hold trust",486
"PAI Europe VI General Partner S.A.R.L.",489
"Pesquera Exalmar",499
"Petrominerales LTD",502
"Pictet & Cie Investment Advisors",505
"Pioneer Asset Management S.A.",509
"República de Chile",517
"República de Colombia",518
"Ripley Corp. S.A.",522
"Rutas de Lima S.A.C.",526
"Sanpaolo IMI Asset Management",529
"Schroder Investment Management",534
"Scotiabank Fideicomiso de Infraestructura 2",537
"TAM Líneas Aéreas S.A.",548
"Telemar Norte Leste S.A.",552
"Terranum Capital Latin America Real Estate Fund GP, Ltd.",554
"Threadneedle Investment Services Limited",561
"Transportadora de Gas Internacional S.A. E.S.P.",566
"Unibanco - Uniao de Bancos Brasileiros",570
"Visa Inc.",576
"Wellington Luxembourg S.à r.l.",582
"CRPAO VAC Trust, Series 2009-100",319
"Dimensional Fund Advisors",327
"Dover VII Associates L.P.",331
"ECOPETROL S.A.",337
"Elementia, S.A. de C.V.",345
"Empresa de Telecomunicaciones de Bogotá S.A. E.S.P.",349
"EOG Resources",354
"EP Medellin",356
"Federated Investment Management Company",358
"Fibria Overseas Finance Ltd.",359
"Franklin Templeton Investment international",368
"GBM Administradora de Activos",375
"Gol - Líneas aéreas inteligentes S.A",386
"Goldman Sachs Asset Management",387
"Groupama Asset Management",390
"GTL Trade Finance",399
"HIPEP VI-Associates L.P.",406
"HollyFrontier Corporation",408
"ICG Europe Fund VI GP Limited",414
"Internacional de Títulos Sociedad Titulizadora S.A. (Intertítulos)",81
"Invesco Fund Managers Limited",425
"Invesco Global Asset Management Limited",426
"Invexans S.A.",429
"Lexington Partners GP Holdings VIII LLC",448
"Mellon Financial Corp",457
"México Generadora de Energía, S. de R.L.",463
"National Australia Bank Limited",472
"NN Investment Partners Luxembourg S.A.",480
"Nomura Asset Management UK Ltd.",481
"Nuevo Mundo Leasing",483
"Partners Group Management XI Limited.",493
"PETROBRAS INTERNATIONAL FINANCE COMPANY",500
"Planta de Reserva Fría de Generación de Eten S.A.",510
"Promotora y Operadora de Infraestructura, S.A.B. de C.V.",512
"San Miguel Industrias Pet S.A.",528
"SEB Asian Property II SICAV-SIF",538
"Sociedad Gestora de Fondos de Inversión Brookfield - AC Capitales S.A.",542
"Solución Financiera de Crédito del Perú S.A.",544
"Terranum Capital Latin America Real Estate Fund II GP, Ltd.",555
"Tokio Marine Asset Management Co. Ltd (TMAM)",564
"Vanguard Group (Ireland) Limited",574
"Votorantim Participaciones S.A.",579
"Wells Fargo Bank NA",584
"LARRAIN VIAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS DE INVERSION",86
"INKIA ENERGY",77
"J.R. LINDLEY",433
"JP Morgan Chase & Co.",137
"Larrain Vial S.A. SAF - Perú",445
